origin_root,relative_path,path,category,size_bytes,description,schema_preview,aggregate_metrics_only,per_epoch_metrics,per_sample_predictions,saved_model_inference,explainability_analyses
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\roc_pr_summary.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\roc_pr_summary.csv,csv,921,CSV artifact.,"family, display_name, split, roc_auc, average_precision, n_samples",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\search_space_table.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\search_space_table.csv,csv,6234,CSV artifact.,"family, hyperparameter, observed_type, n_unique_observed, observed_values_or_range, configured_max_trials, source",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\threshold_metrics.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\threshold_metrics.csv,csv,39003,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"family, display_name, split, score_type, threshold, accuracy, precision, recall, specificity, f1, mcc, balanced_accuracy",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\training_dynamics_summary.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\training_dynamics_summary.csv,csv,1203,CSV artifact.,"family, best_trial_id, best_trial_score, history_path, best_epoch_metric, best_epoch, epoch_of_min_val_loss, epoch_of_peak_val_accuracy, generalization_gap_accuracy, generalization_gap_loss, overfitting_onset_epoch",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\tuner_factor_effects.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\tuner_factor_effects.csv,csv,12985,CSV artifact.,"family, factor_name, factor_value, n_trials, mean_score, median_score, std_score, best_score",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\tuner_top_trials.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\tuner_top_trials.csv,csv,2638,CSV artifact.,"trial_id, score, status, num_blocks, filters_base, kernel_size, dropout, batchnorm, dense_units, l2_reg, optimizer, learning_rate",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\tuner_trials_cleaned.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\tuner_trials_cleaned.csv,csv,69685,CSV artifact.,"trial_id, score, status, num_blocks, filters_base, kernel_size, dropout, batchnorm, dense_units, l2_reg, optimizer, learning_rate",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\leaderboard.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\leaderboard.csv,csv,1807,Aggregate benchmark leaderboard for saved family representatives.,"rank, family, model_name, params_count, input_size, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,reports\final\leaderboard.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\leaderboard.csv,csv,1170,Aggregate benchmark leaderboard for saved family representatives.,"rank, family, model_name, params_count, input_size, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\leaderboard.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\leaderboard.csv,csv,1807,Aggregate benchmark leaderboard for saved family representatives.,"rank, family, model_name, params_count, input_size, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\per_dataset_metrics.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\per_dataset_metrics.csv,csv,4188,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"family, dataset, eval_type, seed, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,reports\final\per_dataset_metrics.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\per_dataset_metrics.csv,csv,2729,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"family, dataset, eval_type, seed, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\per_dataset_metrics.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\per_dataset_metrics.csv,csv,4188,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"family, dataset, eval_type, seed, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions.csv,csv,832143,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset, family, model",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,reports\final\predictions.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions.csv,csv,530594,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset, family, model",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions.csv,csv,832143,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset, family, model",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions_cnn.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions_cnn.csv,csv,96003,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions_cnn.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions_cnn.csv,csv,96003,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions_cnn_attention.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions_cnn_attention.csv,csv,95082,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions_cnn_attention.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions_cnn_attention.csv,csv,95082,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions_cnn_focus_hybrid.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions_cnn_focus_hybrid.csv,csv,95043,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,reports\final\predictions_cnn_focus_hybrid.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_cnn_focus_hybrid.csv,csv,95043,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions_cnn_focus_hybrid.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions_cnn_focus_hybrid.csv,csv,95043,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions_focus_dnn.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions_focus_dnn.csv,csv,94305,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,reports\final\predictions_focus_dnn.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_focus_dnn.csv,csv,94305,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions_focus_dnn.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions_focus_dnn.csv,csv,94305,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions_hybrid_vit.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions_hybrid_vit.csv,csv,95651,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,reports\final\predictions_hybrid_vit.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_hybrid_vit.csv,csv,95651,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions_hybrid_vit.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions_hybrid_vit.csv,csv,95651,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions_transfer.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions_transfer.csv,csv,95057,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,reports\final\predictions_transfer.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_transfer.csv,csv,95057,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions_transfer.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions_transfer.csv,csv,95057,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,reports\final\predictions_vit.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\reports\final\predictions_vit.csv,csv,94610,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),reports\final\predictions_vit.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\reports\final\predictions_vit.csv,csv,94610,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\classical_ml\metrics.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\classical_ml\metrics.csv,csv,5545,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"model, split, dataset, threshold, accuracy, binary_accuracy, precision, recall, f1, auc, confusion_matrix, fp",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\classical_ml\predictions.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\classical_ml\predictions.csv,csv,865437,Per-sample prediction probabilities and labels.,"model, split, dataset, image_path, y_true, y_prob",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn\cnn\kt\trial_0000\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn\cnn\kt\trial_0000\exec_0\history.csv,csv,12092,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn\cnn\kt\trial_0001\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn\cnn\kt\trial_0001\exec_0\history.csv,csv,12027,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,runs\cnn\cnn\kt\trial_0002\exec_0\history.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\runs\cnn\cnn\kt\trial_0002\exec_0\history.csv,csv,7841,Per-epoch training history exported from a Keras Tuner trial.,"epoch, auc, binary_accuracy, false_negatives, false_positives, learning_rate, loss, precision, recall, val_auc, val_binary_accuracy, val_false_negatives",False,True,False,False,False
