model_code_name,model_display_name,seed,manifest_path,leakage_check,checkpoint_path,checkpoint_exists,validation_predictions,validation_predictions_exist,test_predictions,test_predictions_exist,seed_artifact_dir,job_marker,job_marker_complete,metrics_file,metrics_exist,action,command
cnn_focus_hybrid,CNN--focus hybrid,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_22_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_focus_hybrid\seed_22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_focus_hybrid_seed_22.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_focus_hybrid --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 22 --leakage-check stack_sha1
cnn_focus_hybrid,CNN--focus hybrid,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_33_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_focus_hybrid\seed_33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_focus_hybrid_seed_33.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_focus_hybrid --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 33 --leakage-check stack_sha1
cnn_focus_hybrid,CNN--focus hybrid,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_44_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_focus_hybrid\seed_44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_focus_hybrid_seed_44.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_focus_hybrid --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 44 --leakage-check stack_sha1
cnn_focus_hybrid,CNN--focus hybrid,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\cnn_focus_hybrid_seed_55_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\cnn_focus_hybrid\seed_55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_cnn_focus_hybrid_seed_55.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family cnn_focus_hybrid --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 55 --leakage-check stack_sha1
transfer,Transfer learning,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_11_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\transfer\seed_11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_transfer_seed_11.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family transfer --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 11 --leakage-check stack_sha1
transfer,Transfer learning,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_22_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\transfer\seed_22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_transfer_seed_22.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family transfer --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 22 --leakage-check stack_sha1
transfer,Transfer learning,33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_33_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_33_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\transfer\seed_33,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_transfer_seed_33.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family transfer --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 33 --leakage-check stack_sha1
transfer,Transfer learning,44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_44_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_44_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\transfer\seed_44,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_transfer_seed_44.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family transfer --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 44 --leakage-check stack_sha1
transfer,Transfer learning,55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_55_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\transfer_seed_55_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\transfer\seed_55,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_transfer_seed_55.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family transfer --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 55 --leakage-check stack_sha1
hybrid_vit,Hybrid ViT,11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_11_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_11_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\hybrid_vit\seed_11,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_hybrid_vit_seed_11.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family hybrid_vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 11 --leakage-check stack_sha1
hybrid_vit,Hybrid ViT,22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv,stack_sha1,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_22_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\predictions\hybrid_vit_seed_22_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs\hybrid_vit\seed_22,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\job_status\multiseed_hybrid_vit_seed_22.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\metrics\multiseed_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\multiseed_eval.py --family hybrid_vit --manifest D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\leakage_safe_manifest.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\multiseed\training_outputs --seeds 22 --leakage-check stack_sha1
