model_code_name,model_display_name,holdout_dataset,holdout_dataset_code,checkpoint_path,checkpoint_exists,validation_predictions,validation_predictions_exist,test_predictions,test_predictions_exist,seed_artifact_dir,job_marker,job_marker_complete,metrics_file,metrics_exist,action,command
hybrid_vit,Hybrid ViT,TBF,tbf_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_TBF_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_TBF_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\hybrid_vit\heldout_tbf_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_TBF.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families hybrid_vit --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout tbf_imgs --seeds 42
classical_ml,Classical ML,TBF,tbf_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_TBF_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_TBF_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\classical_ml\heldout_tbf_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_TBF.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families classical_ml --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout tbf_imgs --seeds 42
cnn,CNN,PBS,pbs_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_PBS_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_PBS_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn\heldout_pbs_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_PBS.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout pbs_imgs --seeds 42
cnn_attention,Attention-CNN,PBS,pbs_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_PBS_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_PBS_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_attention\heldout_pbs_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_PBS.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_attention --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout pbs_imgs --seeds 42
cnn_focus_hybrid,CNN--focus hybrid,PBS,pbs_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_PBS_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_PBS_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_focus_hybrid\heldout_pbs_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_PBS.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_focus_hybrid --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout pbs_imgs --seeds 42
transfer,Transfer learning,PBS,pbs_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_PBS_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_PBS_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\transfer\heldout_pbs_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_PBS.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families transfer --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout pbs_imgs --seeds 42
hybrid_vit,Hybrid ViT,PBS,pbs_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_PBS_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_PBS_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\hybrid_vit\heldout_pbs_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_PBS.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families hybrid_vit --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout pbs_imgs --seeds 42
classical_ml,Classical ML,PBS,pbs_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_PBS_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_PBS_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\classical_ml\heldout_pbs_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_PBS.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families classical_ml --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout pbs_imgs --seeds 42
cnn,CNN,BMA,bma,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_BMA_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_BMA_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn\heldout_bma\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_BMA.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout bma --seeds 42
cnn_attention,Attention-CNN,BMA,bma,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_BMA_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_BMA_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_attention\heldout_bma\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_BMA.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_attention --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout bma --seeds 42
cnn_focus_hybrid,CNN--focus hybrid,BMA,bma,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_BMA_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_BMA_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_focus_hybrid\heldout_bma\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_BMA.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_focus_hybrid --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout bma --seeds 42
transfer,Transfer learning,BMA,bma,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_BMA_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_BMA_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\transfer\heldout_bma\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_BMA.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families transfer --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout bma --seeds 42
hybrid_vit,Hybrid ViT,BMA,bma,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_BMA_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_BMA_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\hybrid_vit\heldout_bma\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_BMA.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families hybrid_vit --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout bma --seeds 42
classical_ml,Classical ML,BMA,bma,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_BMA_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_BMA_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\classical_ml\heldout_bma\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_BMA.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families classical_ml --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout bma --seeds 42
cnn,CNN,TBSI,TBSI,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_TBSI_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_TBSI_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn\heldout_TBSI\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_TBSI.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout TBSI --seeds 42
cnn_attention,Attention-CNN,TBSI,TBSI,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_TBSI_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_TBSI_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_attention\heldout_TBSI\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_TBSI.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_attention --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout TBSI --seeds 42
